[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
a70efd518cc2   redis_test_100   144.00%   26.17MiB / 15.64GiB   0.16%     486B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   188.36%   49.18MiB / 15.64GiB   0.31%     646B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   188.36%   49.18MiB / 15.64GiB   0.31%     646B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   188.58%   71.59MiB / 15.64GiB   0.45%     736B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   188.58%   71.59MiB / 15.64GiB   0.45%     736B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.76%   85.61MiB / 15.64GiB   0.53%     736B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.76%   85.61MiB / 15.64GiB   0.53%     736B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   187.20%   99.91MiB / 15.64GiB   0.62%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   187.20%   99.91MiB / 15.64GiB   0.62%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   191.82%   119.4MiB / 15.64GiB   0.75%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   191.82%   119.4MiB / 15.64GiB   0.75%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   176.85%   126.4MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   176.85%   126.4MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.96%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.96%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   179.36%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   179.36%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   185.31%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   185.31%   126.5MiB / 15.64GiB   0.79%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.72%   122.8MiB / 15.64GiB   0.77%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.72%   122.8MiB / 15.64GiB   0.77%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   182.49%   122.7MiB / 15.64GiB   0.77%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   182.49%   122.7MiB / 15.64GiB   0.77%     806B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.74%   122.5MiB / 15.64GiB   0.77%     876B / 0B   0B / 0B     6
a70efd518cc2   redis_test_100   183.74%   122.5MiB / 15.64GiB   0.77%     876B / 0B   0B / 0B     6

d65a38e52d82   redis_test_200   0.03%     1.023MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
d65a38e52d82   redis_test_200   0.03%     1.023MiB / 15.64GiB   0.01%     200B / 0B   0B / 0B     1
d65a38e52d82   redis_test_200   145.02%   38.2MiB / 15.64GiB   0.24%     486B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   145.02%   38.2MiB / 15.64GiB   0.24%     486B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   188.48%   75.15MiB / 15.64GiB   0.47%     646B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   188.48%   75.15MiB / 15.64GiB   0.47%     646B / 0B   0B / 0B     6
d65a38e52d82   redis_test_200   189.55%   110.5MiB / 15.64GiB   0.69%     736B / 0B   0B / 0B     6
